"","x"
"1",0.501994277211062
"2",0.535883282958507
"3",0.535809821820114
"4",0.57271905139678
"5",0.552794921813348
"6",0.533767033432279
"7",0.516209454077929
"8",0.556805325224479
"9",0.585391939427406
"10",0.574673095306523
"11",0.642193533259776
"12",0.615177672715715
"13",0.607919990961158
"14",0.646441511029533
"15",0.620865413842205
"16",0.593499040794525
"17",0.568843919524519
"18",0.685077780707953
"19",0.693075591775983
"20",0.762989371834469
"21",0.722150097669709
"22",0.685208150490306
"23",0.997408506780309
"24",1.79266560465038
"25",1.78486640985378
"26",1.66163770544562
"27",2.08884128138779
"28",2.00572767843709
"29",1.92301800217676
"30",1.7822187570614
"31",1.72167408347653
"32",1.65502658399647
"33",1.534501591698
"34",1.43983513194602
"35",1.35196123784667
"36",1.25665430110689
"37",1.30499564907765
"38",1.28594484231883
"39",1.28322832186329
"40",1.2603429847336
"41",1.26997888941974
"42",1.19569762460662
"43",1.18247213849459
"44",1.10438798644761
"45",1.02852944206966
"46",0.973796746552494
"47",1.1069420219535
"48",1.0328376439997
"49",0.99306443655051
"50",0.950894953557293
"51",0.889052106280546
"52",0.836667871176748
"53",0.942591890248918
"54",0.88565731147872
"55",0.834289417602443
"56",1.20747959428687
"57",1.36000001915588
"58",1.59625908074447
"59",1.61171031032186
"60",1.49915850895769
"61",1.47864339522082
"62",1.60109717558893
"63",1.55583797340436
"64",1.50324318132302
"65",1.41755118312813
"66",1.54461408220588
"67",1.43843152831331
"68",1.4662273234498
"69",1.37601955977669
"70",1.31274839481294
"71",1.22536439388663
"72",1.17717135870091
"73",1.16197821622336
"74",1.08276664225014
"75",1.03055796280438
"76",1.01181440339497
"77",0.94409896487796
"78",1.01228396493114
"79",0.947293383410877
"80",0.964166851240262
"81",0.901997408604906
"82",0.896726155680846
"83",0.844746418333948
"84",0.835769789402994
"85",0.78874236180473
"86",0.877328415283361
"87",0.831980261376955
"88",0.781224994751638
"89",0.816068593592811
"90",0.839759745214927
"91",0.790828311517298
"92",0.744817338563216
"93",0.746349050262514
"94",0.71948561860135
"95",0.680488616911064
"96",0.651857964458371
"97",0.675314656450525
"98",0.650336009335345
"99",0.628966559542612
"100",0.60305979318941
"101",0.5817706103112
"102",0.701115308983624
"103",0.807990708702732
"104",0.80041069583048
"105",0.850125599999267
"106",0.814124648796508
"107",0.7655505545562
"108",0.785903099096558
"109",0.739978787111089
"110",0.70794605557968
"111",0.670463729367051
"112",0.638806006357988
"113",0.625108045936342
"114",0.60177357240007
"115",0.575403194400027
"116",0.555968303642133
"117",0.55347930171297
"118",0.534722322888934
"119",0.565450278183844
"120",0.54618389746008
"121",0.730831401130466
"122",0.694446582006047
"123",0.72996129077569
"124",0.725565955039654
"125",0.685042962408151
"126",0.658009622000054
"127",0.650298265088549
"128",0.693607393698676
"129",0.726034680182589
"130",0.757680523354696
"131",0.724635679548656
"132",0.732522506259481
"133",0.761744636523506
"134",0.718082151678433
"135",0.678911671893477
"136",0.659149698851071
"137",0.630237738896153
"138",0.6167967441825
"139",0.588220334682781
"140",0.565777901093265
"141",0.569864730668257
"142",0.640037973162976
"143",0.618180809361209
"144",0.636636181346958
"145",0.641213963819992
"146",0.634955700480556
"147",0.604610593244324
"148",0.604193601225349
"149",0.600793825155906
"150",0.587564514067654
"151",0.570784657933042
"152",0.546264287465616
"153",0.527216389853152
"154",0.572635281774681
"155",0.567526884086037
"156",0.592276710769166
"157",0.631742662842971
"158",0.667307361174449
"159",0.643534396161121
"160",0.617343113543192
"161",0.592360690632246
"162",0.565452734341584
"163",0.545006172854988
"164",0.570890037144627
"165",0.614791704401167
"166",0.585213964669064
"167",0.596888906684452
"168",0.592321199690387
"169",0.565315917498909
"170",0.544732945469937
"171",0.5331888309101
"172",0.530361459563588
"173",0.516815169182253
"174",0.503425206773801
"175",0.506179067582648
"176",0.489186461576171
"177",0.512584611536264
"178",0.494792079069475
"179",0.52181836554713
"180",0.54028286983645
"181",0.520876719274969
"182",0.579803146005268
"183",0.553593124297578
"184",0.546233825745833
"185",0.526549803044478
"186",0.521523797462065
"187",0.513076226258375
